Title,Type,Episodes,Status,Start airing,End airing,Starting season,Broadcast time,Producers,Licensors,Studios,Sources,Genres,Duration,Rating,Score,Scored by,Members,Favorites
Aoki Hagane no Arpeggio: Ars Nova Cadenza,Movie,1,Finished Airing,10/3/2015,null,null,null,{sotsu},null,SANZIGEN,Manga,"{action,sci-fi,seinen}",105,PG-13,8.04,7050,18626,101
Azumanga Daioh,TV,26,Finished Airing,4/9/2002,10/1/2002,Spring,2,"{genco,lantis,imagica,tv tokyo music,cosmic ray,king records}","{adv films,sentai filmworks}",J.C.Staff,4-koma manga,"{slice of life,comedy,school}",24,PG-13,8.04,96783,201812,4347
Haibane Renmei,TV,13,Finished Airing,10/10/2002,12/19/2002,Fall,4,"{kadokawa shoten,fuji tv,studio tulip}","{funimation,geneon entertainment usa}",Radix,Other,"{slice of life,mystery,psychological,drama,fantasy}",24,PG-13,8.04,60006,150394,4432
Ie Naki Ko Remy,TV,23,Finished Airing,9/1/1996,3/23/1997,Fall,0,{fuji tv},null,Nippon Animation,Novel,"{adventure,slice of life,historical,drama}",23,G,8.04,4346,9384,47
Jigoku Shoujo Futakomori,TV,26,Finished Airing,10/7/2006,4/7/2007,Fall,6,"{aniplex,sky perfect well think}",{sentai filmworks},Studio Deen,Original,"{mystery,horror,psychological,supernatural}",25,R,8.04,44725,100179,635
Saiunkoku Monogatari,TV,39,Finished Airing,4/8/2006,2/24/2007,Spring,null,"{nhk,sogo vision}","{funimation,geneon entertainment usa}",Madhouse,Light novel,"{adventure,fantasy,comedy,romance,historical,drama}",25,PG-13,8.04,23327,61299,1054
Tanoshii Muumin Ikka,TV,78,Finished Airing,4/12/1990,10/3/1991,Spring,4,"{tv tokyo,starchild records}",null,Telescreen BV,Book,"{adventure,comedy,fantasy,kids,slice of life}",24,G,8.04,5085,10160,241
Tentai Senshi Sunred 2nd Season,TV,26,Finished Airing,10/3/2009,3/27/2010,Fall,null,{flying dog},null,AIC A.S.T.A.,Manga,"{comedy,parody,seinen,super power}",13,PG-13,8.04,2497,5478,25
There She Is!!,ONA,5,Finished Airing,4/20/2003,12/9/2008,null,null,{sambakza},null,-,-,"{comedy,romance}",5,G,8.04,9811,16845,113
Yume-iro Pâtissière,TV,50,Finished Airing,10/4/2009,9/26/2010,Fall,null,"{yomiuri telecasting,dax production,shueisha}",null,"Studio Pierrot,Studio Hibari",Manga,"{kids,school,shoujo}",24,G,8.04,21420,45174,815
